"Make Check payable to:","Make Check payable to:"
"This order was placed through Virtual Piggy","This order was placed through Virtual Piggy"
"Cart XML","Cart XML"
"Transaction Response","Transaction Response"
"Approval Callback","Approval Callback"
"Test Connection","Test Connection"
"Successful! Test again?","Successful! Test again?"
"Connection failed! Test again?","Connection failed! Test again?"
"Virtual Piggy Guest Checkout","Virtual Piggy Guest Checkout"
"Finalize the Transaction","Finalize the Transaction"
"Place Order","Place Order"
"Product Name","Product Name"
"Edit Your Cart","Edit Your Cart"
"Submitting order information...","Submitting order information..."
"Payment information","Payment information"
"User Id","User Id"
"* Required Fields","* Required Fields"
"Login","Login"
"Cancel","Cancel"
"Loading...","Loading..."
"Please wait...","Please wait..."
"You need to have products in your cart.","You need to have products in your cart."
"You need to be logged in Virtual Piggy.","You need to be logged in Virtual Piggy."
"You need to select one children","You need to select one children"
"You need to select one payment account","You need to select one payment account"
"",""
"",""